"lat","lon","elev","time","unit"
10.7410125341,124.7886369936,0,"2017-05-06 00:41:50",4
10.7409676909,124.7886538412,0,"2017-05-06 00:42:05",4
10.8729878627,124.7116233967,0,"2017-05-15 03:15:28",4
10.8719055075,124.7137563396,0,"2017-05-14 03:01:53",4
10.7366494182,124.7607132699,0,"2017-06-10 00:35:27",4
10.6406420097,124.7811210249,0,"2017-06-15 04:08:04",4
10.7441601064,124.7865262628,0,"2017-05-12 02:48:32",4
10.8736579958,124.7113524936,0,"2017-05-19 03:23:26",4
10.7347649988,124.7876022477,0,"2017-06-02 07:30:24",4
10.8892713860,124.6984217316,0,"2017-05-24 00:17:30",5
10.8714951295,124.7142246366,0,"2017-05-13 04:17:50",5
10.8730130084,124.7119553201,0,"2017-05-18 03:19:00",5
10.6451795530,124.7770738229,0,"2017-05-08 05:40:46",4
10.7436938211,124.7865813319,0,"2017-05-06 01:41:58",4
10.8731184527,124.7122370359,0,"2017-05-18 04:14:34",4
10.7435662486,124.7866068967,0,"2017-06-13 01:58:17",4
10.8173411619,124.7390556894,0,"2017-06-10 03:56:42",4
10.7434499916,124.7866070643,0,"2017-05-06 00:48:25",4
10.8715410624,124.7138859238,0,"2017-06-11 03:37:00",4
10.7532795332,124.7844854370,0,"2017-05-21 06:43:50",4
10.7404225320,124.7910452820,0,"2017-05-22 00:29:27",4
10.7413867023,124.7882519290,0,"2017-05-06 01:05:28",4
10.6334708724,124.7766282409,0,"2017-05-08 04:13:46",4
10.6329350173,124.7766966373,0,"2017-06-04 03:48:39",4
10.6407537404,124.7794279642,0,"2017-06-15 01:55:49",4
10.8688859269,124.7164612636,0,"2017-05-29 02:34:17",4
10.6335526798,124.7767712362,0,"2017-06-04 06:38:58",5
10.7435161248,124.7867555078,0,"2017-05-12 01:47:02",4
10.8735237177,124.7112074029,0,"2017-05-19 05:05:41",4
10.7741669845,124.7805233952,0,"2017-05-26 23:18:01",4
10.7401439175,124.7909566853,0,"2017-05-25 07:17:41",4
10.7764455210,124.7753424570,0,"2017-05-07 01:19:11",4
10.7433874626,124.7867317870,0,"2017-05-25 04:26:37",4
10.8739112969,124.7107634973,0,"2017-05-15 05:16:49",5
10.7408303954,124.7882769909,0,"2017-05-07 00:56:56",4
10.6526238564,124.7833043430,0,"2017-05-27 01:24:28",4
10.8003721666,124.7674872726,0,"2017-05-23 05:41:09",4
10.7532831375,124.7844286915,0,"2017-05-21 06:09:56",5
10.7411189843,124.7888654843,0,"2017-05-12 03:19:17",4
10.8703758940,124.7149728891,0,"2017-06-10 02:58:16",5
10.7436846010,124.7865289450,0,"2017-05-06 01:31:13",4
10.7646418735,124.7852572426,0,"2017-05-06 06:16:59",4
10.7637264021,124.7852173448,0,"2017-05-06 05:44:59",4
10.8732231427,124.7113925591,0,"2017-05-20 05:25:54",4
10.7692292891,124.7835604101,0,"2017-05-22 06:33:13",5
10.6526794285,124.7838474065,0,"2017-05-27 04:07:08",5
10.8114913478,124.7644060012,0,"2017-05-28 04:07:26",4
10.6337284483,124.7769398801,0,"2017-06-04 07:55:15",4
10.6523817033,124.7839225922,0,"2017-05-27 04:59:58",4
10.6338048913,124.7769920994,0,"2017-06-05 02:23:21",4
10.7403646968,124.7911598627,0,"2017-05-21 23:44:12",4
10.8732415829,124.7122286540,0,"2017-05-19 02:17:56",4
10.8000013512,124.7682071105,0,"2017-05-23 04:59:02",5
10.6327323429,124.7766393051,0,"2017-06-04 03:21:24",4
10.7976000197,124.7553698067,0,"2017-05-16 04:49:28",5
10.7272623572,124.7935026884,0,"2017-06-13 00:10:01",4
10.6309995521,124.7766287439,0,"2017-06-02 02:12:39",4
10.8738376200,124.7107320651,0,"2017-05-19 06:00:36",5
10.6526384410,124.7838520166,0,"2017-05-27 04:15:28",4
10.8359408565,124.7467740811,0,"2017-05-28 02:01:41",4
10.8111350331,124.7643903270,0,"2017-05-28 05:15:34",5
10.6406363938,124.7811356094,0,"2017-06-15 04:06:34",4
10.8704380877,124.7150037345,0,"2017-06-10 02:53:27",4
10.6335623190,124.7766441666,0,"2017-06-04 04:49:31",4
10.7644292247,124.7853906825,0,"2017-06-12 01:06:55",4
10.8698753268,124.7159156855,0,"2017-05-30 05:47:12",5
10.7532674633,124.7844242491,0,"2017-06-12 02:33:55",4
10.6519360375,124.7833233699,0,"2017-06-09 03:09:00",4
10.8715498634,124.7141418234,0,"2017-05-13 07:28:05",5
10.6410145015,124.7787197772,0,"2017-06-10 07:04:46",5
10.8730708435,124.7122484352,0,"2017-05-18 03:16:04",4
10.8735631127,124.7111081611,0,"2017-05-19 05:19:06",5
10.8494093176,124.7224903665,0,"2017-05-20 07:44:00",5
10.7436999399,124.7865301184,0,"2017-05-06 01:25:58",4
10.7527238969,124.7809678037,0,"2017-05-13 00:57:20",5
10.8561685681,124.7208801191,0,"2017-05-19 07:29:26",4
10.6339452043,124.7768083680,0,"2017-06-05 04:50:41",5
10.6309280545,124.7763799690,0,"2017-06-03 01:59:30",4
10.6528787501,124.7835220210,0,"2017-05-27 02:16:23",5
10.6335801724,124.7766105551,0,"2017-06-04 05:36:43",5
10.8716619294,124.7141385544,0,"2017-05-13 05:37:05",5
10.7282373402,124.7933875211,0,"2017-05-25 02:45:21",4
10.8558245748,124.7262331378,0,"2017-05-11 01:43:52",4
10.6523372792,124.7839378472,0,"2017-05-27 05:21:52",5
10.7624493353,124.7854332626,0,"2017-05-21 03:26:12",5
10.6335603911,124.7765880916,0,"2017-06-04 05:48:46",4
10.7403583266,124.7911277600,0,"2017-05-21 23:27:42",4
10.6327091251,124.7767271474,0,"2017-06-04 04:43:58",5
10.8704491518,124.7149891499,0,"2017-06-10 02:42:46",5
10.8689323626,124.7164894268,0,"2017-05-29 05:48:17",4
10.6519824732,124.7833326738,0,"2017-06-09 02:44:00",4
10.6518450100,124.7829431668,0,"2017-06-09 01:51:00",4
10.6415806152,124.7779787332,0,"2017-06-06 02:39:29",5
10.6309153140,124.7763948049,0,"2017-06-03 01:56:30",4
10.6405975856,124.7811605036,0,"2017-06-15 04:33:19",4
10.8731959853,124.7114468738,0,"2017-05-15 03:59:43",4
10.7436899655,124.7865464631,0,"2017-05-06 01:30:13",4
10.6523641013,124.7836156469,0,"2017-05-27 06:17:23",5
10.8558400813,124.7264263406,0,"2017-05-11 02:53:22",4
10.6404213142,124.7813022416,0,"2017-05-08 01:26:25",4
10.7436793204,124.7865292802,0,"2017-05-06 01:32:43",4
10.8715948742,124.7141363751,0,"2017-05-13 04:46:35",5
10.8734896034,124.7112721950,0,"2017-05-19 04:19:51",5
10.7436667476,124.7865962517,0,"2017-05-06 02:17:28",4
10.6528920773,124.7834493499,0,"2017-05-27 02:01:53",5
10.6528123654,124.7834992222,0,"2017-05-27 02:10:28",4
10.7641383726,124.7851764411,0,"2017-05-21 02:45:42",5
10.8731363900,124.7120313440,0,"2017-05-18 04:44:19",4
10.8558116667,124.7264186293,0,"2017-05-11 02:10:52",4
10.8731379826,124.7115293518,0,"2017-05-15 03:57:13",4
10.7641297393,124.7851945460,0,"2017-05-21 02:44:12",5
10.8118613251,124.7642841283,0,"2017-05-28 03:35:26",4
10.6308173295,124.7764688171,0,"2017-06-03 00:48:45",4
10.8715115581,124.7141591739,0,"2017-05-13 02:53:35",5
10.8715719078,124.7141755186,0,"2017-05-13 06:30:06",4
10.7429018151,124.7871853318,0,"2017-05-25 03:47:49",5
10.8716172539,124.7141262330,0,"2017-05-13 05:56:21",4
10.7984963804,124.7686467413,0,"2017-05-23 01:27:49",4
10.8729142696,124.7115182877,0,"2017-05-20 05:55:29",5
10.7992074173,124.7685549594,0,"2017-05-23 03:04:04",4
10.7647370920,124.7853047680,0,"2017-05-06 05:47:14",4
10.8738953713,124.7106660996,0,"2017-05-20 02:57:54",4
10.8715911023,124.7141599283,0,"2017-06-11 04:41:31",5
10.8738103788,124.7106939275,0,"2017-05-20 04:34:15",5
10.8735434990,124.7117752768,0,"2017-05-18 07:14:51",5
10.8730476256,124.7121971380,0,"2017-05-18 03:01:00",5
10.6526852120,124.7832829691,0,"2017-05-27 01:21:42",4
10.6337592099,124.7769369464,0,"2017-06-05 03:31:06",4
10.8695775177,124.7162492014,0,"2017-05-30 03:13:57",5
10.7436926477,124.7865871154,0,"2017-05-06 01:44:28",4
10.6559676491,124.7837007232,0,"2017-05-27 06:43:28",4
10.6526521035,124.7834268864,0,"2017-05-27 01:42:13",4
10.7968227658,124.7539324779,0,"2017-06-11 07:23:16",4
10.8703010436,124.7149930056,0,"2017-06-10 02:07:46",5
10.7781221531,124.7747465037,0,"2017-05-07 01:20:11",4
10.8733682334,124.7120452579,0,"2017-05-18 06:08:40",4
10.7981287502,124.7690124437,0,"2017-05-07 03:06:38",4
10.8729255013,124.7121087089,0,"2017-05-20 06:38:54",4
10.6338854413,124.7769102920,0,"2017-06-05 03:25:57",5
10.7681350317,124.7844990995,0,"2017-05-22 01:45:43",5
10.8734387252,124.7120539751,0,"2017-05-18 06:11:09",4
10.7436758839,124.7865571082,0,"2017-05-06 01:48:43",4
10.7992213313,124.7685531154,0,"2017-05-23 04:05:17",4
10.7414269354,124.7881595604,0,"2017-06-05 01:01:23",5
10.6410768628,124.7785100620,0,"2017-06-10 06:10:27",4
10.8108218014,124.7646836936,0,"2017-05-28 05:02:25",4
10.7982440852,124.7688156366,0,"2017-05-23 00:54:49",4
10.8690514695,124.7163860779,0,"2017-05-30 01:23:30",4
10.6818811409,124.7608079016,0,"2017-06-06 01:40:14",5
10.7411287073,124.7888396680,0,"2017-05-12 03:00:32",4
10.6406241562,124.7811193485,0,"2017-06-15 04:01:34",4
10.7641662005,124.7853368707,0,"2017-05-21 02:24:22",4
10.8359956741,124.7467297409,0,"2017-05-28 01:42:04",5
10.6417859718,124.7778434493,0,"2017-06-06 05:07:41",4
10.6523009017,124.7836476658,0,"2017-05-27 06:09:13",4
10.7438930590,124.7855585720,0,"2017-05-07 00:59:56",4
10.7774074282,124.7544983402,0,"2017-06-10 00:54:27",4
10.7437140215,124.7865157854,0,"2017-05-06 01:21:58",4
10.8718872350,124.7137555014,0,"2017-05-14 02:00:07",4
10.6316681765,124.7765994072,0,"2017-06-02 02:43:24",5
10.6800636090,124.7790990584,0,"2017-06-03 04:56:15",4
10.6527013052,124.7834397107,0,"2017-05-27 01:44:13",4
10.8741545398,124.7109437920,0,"2017-05-20 03:19:30",5
10.7440759521,124.7861348279,0,"2017-06-08 00:56:17",5
10.6325364579,124.7768636048,0,"2017-06-04 02:29:09",4
10.6308399606,124.7764466051,0,"2017-06-03 01:27:45",4
10.8696142305,124.7161137499,0,"2017-05-30 03:43:31",4
10.7839189097,124.7659081221,0,"2017-05-28 00:12:56",4
10.7437160332,124.7865874507,0,"2017-05-06 01:54:28",4
10.8714776114,124.7141590901,0,"2017-05-13 03:50:51",4
10.8648797125,124.7177509032,0,"2017-05-29 02:19:52",5
10.7646552008,124.7852273192,0,"2017-05-06 06:00:59",4
10.8729883656,124.7116174456,0,"2017-05-15 03:21:19",5
10.8698306512,124.7158866003,0,"2017-05-30 05:35:42",5
10.8719020709,124.7137821559,0,"2017-05-14 02:52:38",4
10.6520272326,124.7837862186,0,"2017-06-09 03:54:45",4
10.8703967649,124.7150545288,0,"2017-06-10 02:49:41",4
10.7681346126,124.7844514064,0,"2017-05-22 01:44:42",4
10.6326841470,124.7768949531,0,"2017-06-02 04:29:54",4
10.6339639798,124.7769428976,0,"2017-06-05 05:07:27",5
10.8738530427,124.7107559536,0,"2017-05-15 04:38:58",4
10.6339896284,124.7767986450,0,"2017-06-05 04:39:12",5
10.7052292675,124.7830326017,0,"2017-06-10 08:07:31",5
10.8316927403,124.7424491867,0,"2017-05-11 01:20:22",4
10.6318799872,124.7768229526,0,"2017-06-02 02:12:54",5
10.6326844823,124.7767216153,0,"2017-06-03 03:25:07",5
10.8696559723,124.7160679009,0,"2017-05-30 04:35:46",4
10.8729999326,124.7116332874,0,"2017-05-15 02:23:58",4
10.6519987341,124.7833527066,0,"2017-06-09 02:30:34",5
10.8714962192,124.7141499538,0,"2017-05-13 04:40:06",4
10.6325584184,124.7770428099,0,"2017-06-04 02:06:09",4
10.8728530817,124.7124233656,0,"2017-05-18 01:46:34",4
10.8730038721,124.7116024420,0,"2017-05-15 02:39:58",4
10.6335613132,124.7765510436,0,"2017-05-08 04:25:46",4
10.8606884256,124.7219747119,0,"2017-05-11 03:05:22",4
10.7682027575,124.7844616324,0,"2017-05-22 03:59:28",5
10.8739039209,124.7105433047,0,"2017-05-19 06:18:50",5
10.7645872235,124.7854162473,0,"2017-05-21 02:21:27",5
10.6335033942,124.7767474316,0,"2017-06-04 06:22:58",5
10.6411114801,124.7785145883,0,"2017-06-10 05:53:16",5
10.6526272930,124.7839537729,0,"2017-05-27 03:33:38",5
10.6325946283,124.7768882476,0,"2017-06-04 02:33:24",4
10.9053810686,124.5967023075,0,"2017-05-24 01:55:30",5
10.8742557094,124.7106500901,0,"2017-05-16 02:12:06",4
10.7436983474,124.7866259236,0,"2017-05-06 02:04:28",4
10.7631922234,124.7851561569,0,"2017-05-21 01:27:28",4
10.6334705371,124.7766056098,0,"2017-05-08 04:52:31",4
10.8061060589,124.7487318423,0,"2017-06-10 01:07:57",4
10.7436957490,124.7865215689,0,"2017-05-06 01:23:28",4
10.7686782628,124.7839438822,0,"2017-05-22 03:38:42",4
10.8742475789,124.7107213363,0,"2017-05-16 01:54:35",4
10.7565784827,124.7860111948,0,"2017-05-21 04:48:58",4
10.6334509235,124.7767344397,0,"2017-05-08 03:14:31",4
10.7647308894,124.7853108868,0,"2017-05-06 06:24:44",4
10.6518783700,124.7828887682,0,"2017-06-09 01:54:00",4
10.6323929597,124.7767799534,0,"2017-06-02 03:12:54",5
10.8716274798,124.7141398955,0,"2017-05-13 05:13:06",4
10.8731126692,124.7115935571,0,"2017-05-20 05:45:39",4
10.7436675858,124.7865742911,0,"2017-05-06 02:08:13",4
10.7404601667,124.7910429351,0,"2017-05-25 06:32:19",5
10.6335223373,124.7764136642,0,"2017-06-04 08:24:28",5
10.8284858242,124.7513100319,0,"2017-05-28 02:41:41",4
10.6413044315,124.7813971248,0,"2017-06-15 05:40:19",4
10.6317618024,124.7764077131,0,"2017-06-01 06:41:49",5
10.8690583427,124.7163460962,0,"2017-05-30 01:28:27",5
10.8715957962,124.7138505522,0,"2017-06-11 03:15:01",5
10.7436716929,124.7865778115,0,"2017-05-06 02:10:28",4
10.8742201701,124.7105922550,0,"2017-05-16 03:12:36",4
10.7978151832,124.7553045955,0,"2017-05-16 04:49:21",4
10.7411246002,124.7888742853,0,"2017-05-12 03:18:32",4
10.8731923811,124.7114586923,0,"2017-05-15 03:49:43",4
10.8165497426,124.7443849873,0,"2017-05-16 04:39:06",4
10.7419043686,124.7900419682,0,"2017-05-21 23:22:12",4
10.7565893792,124.7859350871,0,"2017-05-21 04:49:41",5
10.7995110098,124.7683616728,0,"2017-05-23 04:38:02",5
10.8714900166,124.7141579166,0,"2017-05-13 02:57:50",5
10.7411970198,124.7887995187,0,"2017-06-12 03:08:21",5
10.6560101453,124.7792126331,0,"2017-06-10 07:44:16",5
10.8741440624,124.7107816860,0,"2017-05-20 03:57:38",4
10.7403202727,124.7910934780,0,"2017-05-25 06:08:22",4
10.6615012139,124.7904449701,0,"2017-05-27 01:04:43",4
10.7682044338,124.7846303601,0,"2017-05-22 01:24:12",4
10.8716476802,124.7141465172,0,"2017-05-13 05:56:20",5
10.7406780124,124.7885141149,0,"2017-05-26 22:43:16",4
10.7805446070,124.7789315879,0,"2017-05-07 04:21:43",4
10.8279131725,124.7441977356,0,"2017-05-11 01:18:22",4
10.7992576249,124.7685179114,0,"2017-05-23 02:58:34",4
10.6326615158,124.7769356892,0,"2017-06-04 02:25:39",4
10.7634677365,124.7746277321,0,"2017-05-28 00:03:56",4
10.6324765272,124.7767803725,0,"2017-06-05 03:05:36",4
10.8116738219,124.7642405424,0,"2017-05-28 03:49:11",4
10.8730731905,124.7121805418,0,"2017-05-18 04:01:33",4
10.8734471072,124.7121576592,0,"2017-05-19 02:45:41",4
10.7474268693,124.7854617611,0,"2017-05-17 09:01:51",4
10.7436743751,124.7865870316,0,"2017-05-06 02:14:58",4
10.8558244072,124.7264201380,0,"2017-05-11 02:06:37",4
10.7915926259,124.7707604896,0,"2017-05-07 01:28:11",4
10.8741350938,124.7109217476,0,"2017-05-20 03:24:15",5
10.8729773853,124.7123466711,0,"2017-05-19 01:54:11",4
10.6339161191,124.7766643669,0,"2017-06-05 06:17:51",4
10.8716392145,124.7139844112,0,"2017-06-11 03:43:31",5
10.7647326495,124.7851780336,0,"2017-05-06 06:07:14",4
10.6335505005,124.7767698951,0,"2017-06-04 06:38:13",5
10.8734432515,124.7112438641,0,"2017-05-19 04:39:51",5
10.8689166047,124.7164600063,0,"2017-05-29 02:35:17",4
10.6331979576,124.7765525524,0,"2017-06-04 04:14:16",4
10.7686275523,124.7839321475,0,"2017-05-22 03:13:27",4
10.6519724149,124.7829108965,0,"2017-06-09 01:22:19",5
10.7682533003,124.7846908774,0,"2017-05-22 07:17:27",4
10.7273058593,124.7932695877,0,"2017-05-25 00:22:04",5
10.6309185829,124.7763950564,0,"2017-06-03 02:18:00",4
10.8122605551,124.7636663821,0,"2017-05-28 02:49:41",4
10.7814120501,124.7784972377,0,"2017-05-07 04:21:13",4
10.8642876148,124.7170047462,0,"2017-05-16 04:10:51",4
10.7436661609,124.7865804937,0,"2017-05-06 02:22:58",4
10.7499541808,124.7796885576,0,"2017-05-13 08:57:20",5
10.8735052776,124.7111079097,0,"2017-05-19 05:13:26",4
10.8912910894,124.6973037533,0,"2017-05-24 00:18:15",5
10.6325643696,124.7767872456,0,"2017-06-01 06:52:49",5
10.6323761120,124.7767561488,0,"2017-06-02 03:38:54",5
10.6334590539,124.7767690569,0,"2017-05-08 05:03:46",4
10.6413595844,124.7780362330,0,"2017-06-06 04:04:41",4
10.8734764438,124.7112727817,0,"2017-05-19 04:31:56",4
10.6681613065,124.7768950369,0,"2017-06-03 04:51:15",4
10.8716174215,124.7141652927,0,"2017-05-13 05:42:50",5
10.8741359320,124.7107353341,0,"2017-06-11 05:24:30",4
10.8695500251,124.7161653824,0,"2017-05-30 03:38:57",5
10.8307648636,124.7356664669,0,"2017-05-16 04:30:51",4
10.6410498731,124.7785575874,0,"2017-06-10 06:45:27",4
10.6307865679,124.7763510514,0,"2017-06-01 06:31:04",5
10.8735118993,124.7119926196,0,"2017-05-18 06:53:09",4
10.8735042717,124.7112641484,0,"2017-05-19 04:12:51",5
10.7513678726,124.7906366643,0,"2017-05-21 07:26:05",4
10.8714562375,124.7140613571,0,"2017-06-11 02:05:16",4
10.6325077079,124.7769980505,0,"2017-06-04 01:31:24",4
10.8731062990,124.7115815710,0,"2017-05-20 05:45:24",4
10.8738947008,124.7105950210,0,"2017-05-20 02:29:54",4
10.7117105741,124.7944204230,0,"2017-06-06 00:46:29",5
10.8718424756,124.7138275858,0,"2017-05-14 03:10:58",5
10.7436733693,124.7865619697,0,"2017-05-06 01:39:43",4
10.7437804062,124.7864898015,0,"2017-05-12 01:25:02",4
10.6334805116,124.7766871657,0,"2017-05-08 05:00:16",4
10.8743218426,124.7105656844,0,"2017-05-16 03:52:06",4
10.7983419858,124.7678237222,0,"2017-05-23 00:13:19",4
10.7433793321,124.7868639696,0,"2017-05-25 04:33:07",4
10.8720895741,124.7139364667,0,"2017-05-14 03:43:13",5
10.6410280801,124.7787594236,0,"2017-06-10 07:16:31",5
10.7436747942,124.7865961678,0,"2017-05-06 01:50:13",4
10.8733317722,124.7120092157,0,"2017-05-20 06:52:39",4
10.8729206398,124.7118729260,0,"2017-05-15 02:43:04",5
10.7404367812,124.7896558978,0,"2017-05-18 09:57:29",4
10.7438890357,124.7865649872,0,"2017-06-08 00:17:57",4
10.6526262872,124.7838936746,0,"2017-05-27 03:59:43",4
10.7415994350,124.7876180895,0,"2017-05-25 03:28:49",5
10.8740309067,124.7106429655,0,"2017-06-11 05:29:01",5
10.8714761864,124.7141721658,0,"2017-05-13 02:32:36",4
10.7546161953,124.7849425022,0,"2017-06-12 02:21:10",4
10.7355688233,124.7607739549,0,"2017-06-10 00:34:57",4
10.8714789525,124.7141184378,0,"2017-05-13 03:11:21",4
10.8717888314,124.7137240693,0,"2017-05-14 03:17:28",5
10.8204956912,124.7508884221,0,"2017-05-29 06:17:07",5
10.7433165517,124.7872497886,0,"2017-05-17 06:14:50",4
10.8648041077,124.7180503886,0,"2017-05-30 00:57:46",4
10.6417541206,124.7778391745,0,"2017-06-06 05:06:56",4
10.8741005603,124.7107614856,0,"2017-05-15 04:12:49",5
10.6411445048,124.7785822302,0,"2017-06-10 06:29:42",4
10.7437459566,124.7865957487,0,"2017-05-06 02:37:43",4
10.6531566102,124.7839106899,0,"2017-05-27 03:05:43",4
10.7980357111,124.7690116055,0,"2017-05-23 00:49:49",4
10.6338453759,124.7769928537,0,"2017-06-05 02:31:51",4
10.7440590207,124.7854377888,0,"2017-05-18 09:19:28",4
10.6337121874,124.7767936997,0,"2017-06-04 07:01:43",5
